,list1,list2,list3,list4,sum
AHDC1(+),True,True,True,True,100.0
MITF(+),True,True,True,True,100.0
MYCN(+),True,True,True,True,100.0
MZF1(+),True,True,True,True,100.0
NFATC1(+),True,True,True,True,100.0
NFATC2(+),True,True,True,True,100.0
NFE2L1(+),True,True,True,True,100.0
NFE2L2(+),True,True,True,True,100.0
NFIA(+),True,True,True,True,100.0
NFIC(+),True,True,True,True,100.0
NFKB1(+),True,True,True,True,100.0
NR2C2(+),True,True,True,True,100.0
NR2F2(+),True,True,True,True,100.0
NR3C1(+),True,True,True,True,100.0
PBX1(+),True,True,True,True,100.0
POU2F1(+),True,True,True,True,100.0
POU2F2(+),True,True,True,True,100.0
POU2F3(+),True,True,True,True,100.0
PPARG(+),True,True,True,True,100.0
PRDM1(+),True,True,True,True,100.0
PURA(+),True,True,True,True,100.0
MXD4(+),True,True,True,True,100.0
MEIS1(+),True,True,True,True,100.0
RELB(+),True,True,True,True,100.0
MEF2C(+),True,True,True,True,100.0
IRF1(+),True,True,True,True,100.0
IRF2(+),True,True,True,True,100.0
IRF3(+),True,True,True,True,100.0
IRF4(+),True,True,True,True,100.0
IRF5(+),True,True,True,True,100.0
IRF7(+),True,True,True,True,100.0
JUN(+),True,True,True,True,100.0
JUNB(+),True,True,True,True,100.0
JUND(+),True,True,True,True,100.0
KLF12(+),True,True,True,True,100.0
KLF3(+),True,True,True,True,100.0
KMT2B(+),True,True,True,True,100.0
MAF(+),True,True,True,True,100.0
MAFB(+),True,True,True,True,100.0
MAFG(+),True,True,True,True,100.0
MAX(+),True,True,True,True,100.0
MBD2(+),True,True,True,True,100.0
MECOM(+),True,True,True,True,100.0
MECP2(+),True,True,True,True,100.0
ARID3A(+),True,True,True,True,100.0
RFX1(+),True,True,True,True,100.0
ILF2(+),True,True,True,True,100.0
TCF4(+),True,True,True,True,100.0
TCF7L2(+),True,True,True,True,100.0
TFE3(+),True,True,True,True,100.0
THRB(+),True,True,True,True,100.0
TP53(+),True,True,True,True,100.0
USF2(+),True,True,True,True,100.0
XBP1(+),True,True,True,True,100.0
YY1(+),True,True,True,True,100.0
ZBTB20(+),True,True,True,True,100.0
ZBTB40(+),True,True,True,True,100.0
ZBTB7A(+),True,True,True,True,100.0
ZFX(+),True,True,True,True,100.0
ZNF148(+),True,True,True,True,100.0
ZNF281(+),True,True,True,True,100.0
ZNF333(+),True,True,True,True,100.0
ZNF384(+),True,True,True,True,100.0
ZNF398(+),True,True,True,True,100.0
ZNF516(+),True,True,True,True,100.0
ZNF518A(+),True,True,True,True,100.0
ZNF592(+),True,True,True,True,100.0
TCF7L1(+),True,True,True,True,100.0
TCF3(+),True,True,True,True,100.0
RFX2(+),True,True,True,True,100.0
TCF12(+),True,True,True,True,100.0
RFX3(+),True,True,True,True,100.0
RFX4(+),True,True,True,True,100.0
RFX7(+),True,True,True,True,100.0
RUNX1(+),True,True,True,True,100.0
RUNX3(+),True,True,True,True,100.0
RXRA(+),True,True,True,True,100.0
SATB2(+),True,True,True,True,100.0
SETDB1(+),True,True,True,True,100.0
SMAD3(+),True,True,True,True,100.0
SP3(+),True,True,True,True,100.0
SPI1(+),True,True,True,True,100.0
SREBF1(+),True,True,True,True,100.0
SREBF2(+),True,True,True,True,100.0
STAT1(+),True,True,True,True,100.0
STAT2(+),True,True,True,True,100.0
STAT6(+),True,True,True,True,100.0
TAL1(+),True,True,True,True,100.0
TBP(+),True,True,True,True,100.0
TBX15(+),True,True,True,True,100.0
ING4(+),True,True,True,True,100.0
REL(+),True,True,True,True,100.0
FOXJ3(+),True,True,True,True,100.0
FOS(+),True,True,True,True,100.0
ETS2(+),True,True,True,True,100.0
CEBPD(+),True,True,True,True,100.0
ETV5(+),True,True,True,True,100.0
